dataset_id,title,issuing_organization,source_class,source_url,published_or_updated_at,accessed_at,version,download_status,file_name,local_path,sha256,license,format,horizontal_crs,vertical_datum,geographic_coverage,official_status,usable_fields,missing_fields,notes,downloaded_at,file_hash,vertical_crs_or_datum,coordinate_epoch,axis_order,horizontal_unit,vertical_unit,transformation_method
kyoto_temporary_stay_facilities,京都市帰宅支援サイト一時滞在施設,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousai.city.kyoto.lg.jp/kitakushien/temporary-lodgings,UNKNOWN,2026-08-30,UNKNOWN,METADATA_ONLY,,,,京都市ウェブサイト利用規約,HTML,UNKNOWN,UNKNOWN,京都市・東山区44番から64番を含む,OFFICIAL_PUBLISHED,district grouping;facility IDs,bulk export;coordinates;entrances;opening;capacity,災害時開放や容量を推定しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_designated_emergency_places,指定避難所・指定緊急避難場所等一覧,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousai.city.kyoto.lg.jp/0000000311.html,2026-08-28,2026-08-30,2026-08-28 page,METADATA_ONLY,,,,京都市ウェブサイト利用規約,HTML/PDF,UNKNOWN,UNKNOWN,京都市,OFFICIAL_PUBLISHED,facility categories;hazard designation;lists,machine-readable rows;coordinates;entrances;operation;capacity,指定避難所・水害土砂指定場所・広域避難場所を別種別で保持する,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_emergency_plaza_capacity_operation,清水祇園緊急避難広場の容量・入口・開放条件,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousai.city.kyoto.lg.jp/0000000219.html,UNKNOWN,2026-08-30,UNKNOWN,REQUIRES_APPLICATION,,,,UNKNOWN,管理者確認記録,UNKNOWN,UNKNOWN,清水・祇園地域,OFFICIAL_CONFIRMATION_REQUIRED,public role descriptions,facility manager;capacity;entrance;gate;opening authority;fire_safe evidence,公開ページから容量を算出せず管理者を確認して照会する,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_web_hazard_flood,京都市防災情報マップ洪水,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousaimap.city.kyoto.lg.jp/sp/Top,UNKNOWN,2026-08-30,UNKNOWN,METADATA_ONLY,,,,京都市防災情報マップ利用条件,Web GIS,UNKNOWN,UNKNOWN,京都市,OFFICIAL_PUBLISHED,inundation depth;duration;house collapse zones,geometry;layer version;CRS;corridor intersection,区域重複からscenario CLOSEDを自動決定しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_web_hazard_inland,京都市防災情報マップ内水,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousaimap.city.kyoto.lg.jp/sp/Top,UNKNOWN,2026-08-30,UNKNOWN,METADATA_ONLY,,,,京都市防災情報マップ利用条件,Web GIS,UNKNOWN,UNKNOWN,京都市,OFFICIAL_PUBLISHED,rainwater inundation depth,geometry;layer version;CRS;corridor intersection,区域重複から道路通行状態やscenario CLOSEDを決定しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_web_hazard_landslide,京都市防災情報マップ土砂災害,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousaimap.city.kyoto.lg.jp/sp/Top,UNKNOWN,2026-08-30,UNKNOWN,METADATA_ONLY,,,,京都市防災情報マップ利用条件,Web GIS,UNKNOWN,UNKNOWN,京都市,OFFICIAL_PUBLISHED,warning zones;special warning zones,geometry;designation IDs;version;CRS;intersection,区域重複から道路通行状態やscenario CLOSEDを決定しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_web_hazard_earthquake,京都市防災情報マップ地震,京都市行財政局防災危機管理室,OFFICIAL,https://www.bousaimap.city.kyoto.lg.jp/sp/Top,UNKNOWN,2026-08-30,UNKNOWN,METADATA_ONLY,,,,京都市防災情報マップ利用条件,Web GIS,UNKNOWN,UNKNOWN,京都市,OFFICIAL_PUBLISHED,250m maximum intensity;fault scenarios,grid;scenario metadata;CRS;corridor cells,震度想定から個別倒壊・個別閉塞・scenario CLOSEDを決定しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_pref_landslide_designations,京都府土砂災害警戒区域等・東山区,京都府建設交通部砂防課,OFFICIAL,https://www.pref.kyoto.jp/dosyashitei/shiteitop.html,2026-07-31,2026-08-30,2026-07-31 page,METADATA_ONLY,,,,京都府ウェブサイト利用規約,HTML/PDF maps,UNKNOWN,UNKNOWN,東山区8地区65箇所,OFFICIAL_PUBLISHED,district counts;designation status;reference maps,polygons;designation IDs;CRS;official copies,Web区域図は概略参考図であり境界確定資料にしない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_public_toilets_open_data,京都市公衆トイレ位置情報等open data,京都市環境政策局,OFFICIAL,https://data.city.kyoto.lg.jp/dataset/00307/,2026-03-06,2026-08-30,dataset 00307,METADATA_ONLY,,,,CC BY 4.0,XLSX,UNKNOWN,UNKNOWN,京都市・清水祇園周辺を含む,OFFICIAL_PUBLISHED,name;location;equipment candidates,resource checksum;CRS;entrance;current equipment,設備詳細と入口は現地または管理者確認が必要,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_public_toilet_map,京都市公衆トイレ・観光トイレ一覧,京都市環境政策局,OFFICIAL,https://www.city.kyoto.lg.jp/kankyo/page/0000330061.html,2026-03-10,2026-08-30,2026-03-10 page,METADATA_ONLY,,,,京都市ウェブサイト利用規約,HTML,UNKNOWN,UNKNOWN,清水・祇園周辺A1からA13等,OFFICIAL_PUBLISHED,names;addresses;equipment links,bulk coordinates;entrances;machine-readable accessibility,清水寺・高台寺公園・祇園石段下・円山公園等を含む,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_official_tourism_poi,京都市公式京都観光Navi清水寺等POI,京都市観光協会,OFFICIAL,https://ja.kyoto.travel/tourism/single01.php?category_id=7&tourism_id=267,UNKNOWN,2026-08-30,UNKNOWN,METADATA_ONLY,,,,京都観光Navi利用条件,HTML,UNKNOWN,UNKNOWN,清水寺および周辺観光地,OFFICIAL_PUBLISHED,name;address;access;hours,bulk export;coordinates;entrances;accessibility evidence,POI候補であり経路入口や通行可否は別証拠が必要,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
kyoto_subway_station_info,京都市営地下鉄駅情報,京都市交通局,OFFICIAL,https://data.city.kyoto.lg.jp/dataset/00023/,2016-11-22,2026-08-30,dataset 00023,METADATA_ONLY,,,,CC BY 4.0,XLSX,UNKNOWN,UNKNOWN,京都市営地下鉄全駅,OFFICIAL_PUBLISHED,station facilities,coordinates;entrances;current update;non-municipal rail,対象回廊最寄り京阪等を含まず別途照合が必要,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
hokonavi_kiyomizu_corridor,ほこナビ清水・祇園対象回廊データ,国土交通省,OFFICIAL,https://ckan.hokonavi.go.jp/dataset/,UNKNOWN,2026-08-30,2024 specification catalog,NOT_FOUND,,,,公共データ利用規約第1.0版,CSV/GeoJSON,UNKNOWN,UNKNOWN,清水・祇園対象回廊,UNKNOWN,UNKNOWN,target nodes;links;barriers;coverage,公式catalogで清水対象を確認できず別地域データを流用しない,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
