scenario_id,edge_id,state,evidence
EQ_MED,E012,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E013,UNKNOWN,被害情報なし
EQ_MED,E014,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E015,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E017,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E020,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E021,OPEN,閉塞想定なし（SYNTHETIC）
EQ_MED,E022,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E001,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E002,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E003,CLOSED,沿川被害想定
EQ_SEV,E004,NARROWED,瓦礫
EQ_SEV,E005,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E006,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E007,CLOSED,閉塞
EQ_SEV,E008,CLOSED,閉塞
EQ_SEV,E009,CLOSED,閉塞
EQ_SEV,E010,CLOSED,閉塞
EQ_SEV,E011,NARROWED,瓦礫
EQ_SEV,E012,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E013,UNKNOWN,被害情報なし
EQ_SEV,E014,NARROWED,瓦礫
EQ_SEV,E015,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E017,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E020,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E021,OPEN,閉塞想定なし（SYNTHETIC）
EQ_SEV,E022,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E001,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E002,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E003,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E004,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E005,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E006,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E007,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E008,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E009,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E010,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E011,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E012,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E013,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E014,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E015,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E017,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E020,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E021,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L3,E022,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E001,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E002,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E003,NARROWED,白川増水
RAIN_L4,E004,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E005,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E006,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E007,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E008,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E009,CLOSED,土砂災害警戒区域・事前通行止め想定
RAIN_L4,E010,CLOSED,土砂災害警戒区域・事前通行止め想定
RAIN_L4,E011,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E012,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E013,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E014,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E015,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E017,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E020,CLOSED,土砂災害警戒区域
RAIN_L4,E021,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L4,E022,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E001,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E002,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E003,CLOSED,白川氾濫想定
RAIN_L5,E004,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E005,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E006,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E007,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E008,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E009,CLOSED,土砂
RAIN_L5,E010,CLOSED,土砂
RAIN_L5,E011,UNKNOWN,路面冠水状況不明
RAIN_L5,E012,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E013,CLOSED,川端通冠水想定
RAIN_L5,E014,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E015,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E017,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E020,CLOSED,土砂
RAIN_L5,E021,OPEN,閉塞想定なし（SYNTHETIC）
RAIN_L5,E022,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E001,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E002,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E003,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E004,NARROWED,瓦礫
EQF_T10,E005,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E006,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E007,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E008,NARROWED,瓦礫
EQF_T10,E009,CLOSED,階段部崩落
EQF_T10,E010,CLOSED,出火点周辺・輻射熱
EQF_T10,E011,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E012,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E013,UNKNOWN,被害情報なし
EQF_T10,E014,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E015,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E017,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E020,CLOSED,出火点周辺
EQF_T10,E021,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T10,E022,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E001,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E002,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E003,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E004,NARROWED,瓦礫
EQF_T30,E005,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E006,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E007,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E008,CLOSED,延焼域
EQF_T30,E009,CLOSED,延焼域
EQF_T30,E010,CLOSED,延焼域
EQF_T30,E011,NARROWED,火面接近・輻射熱
EQF_T30,E012,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E013,UNKNOWN,被害情報なし
EQF_T30,E014,NARROWED,煙
EQF_T30,E015,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E017,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E020,CLOSED,延焼域
EQF_T30,E021,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T30,E022,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E001,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E002,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E003,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E004,NARROWED,瓦礫
EQF_T60,E005,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E006,NARROWED,煙・避難流
EQF_T60,E007,CLOSED,延焼域
EQF_T60,E008,CLOSED,延焼域
EQF_T60,E009,CLOSED,延焼域
EQF_T60,E010,CLOSED,延焼域
EQF_T60,E011,CLOSED,延焼域拡大
EQF_T60,E012,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E013,UNKNOWN,被害情報なし
EQF_T60,E014,CLOSED,延焼域拡大
EQF_T60,E015,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E017,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E020,CLOSED,延焼域
EQF_T60,E021,OPEN,閉塞想定なし（SYNTHETIC）
EQF_T60,E022,OPEN,閉塞想定なし（SYNTHETIC）
