claim_id,topic,source,page_or_section,equation,source_fact,gpt_interpretation,claude_interpretation,agreement_status,recommended_ablepath_use,prohibited_use,transfer_status,production_freeze_required
DS-03,damage_state,"Yamada, Ohmura & Goto 2017",p.1 Abstract; p.10（刷り p.1564）; pp.15-16（刷り pp.1569-1570）; p.17（刷り p.1571）,NA,要旨は不均質性の原因を『建物耐震性能と局所地盤条件の組み合わせ』とし、結論は『局所地盤条件と建築年代の組み合わせ』とする（列挙因子が一致しない）。本文は年代と倒壊率の強い相関を認め（築50年超で倒壊率40%）、建築基準改正年（1981/2000）より経年劣化の効果が大きいと述べる。表層地盤の増幅は強震時に非線形化しうるとも述べる。,DAMAGE_STATE packet C-15 は要旨のみに依拠し『不均質性は建築年代だけでは説明できない』とした。契約 §3 も『building age alone is insufficient』を use に置いた。,『年代だけでは不十分』は支持される。しかし『年代の説明力が弱い』という読みは原著に反する（強い相関を明示）。既存文書は要旨だけを引いたため、この非対称を落としている。また非線形増幅の記述は、ハザード重畳の単調ロジック（軟弱地盤=被害大）を否定する追加根拠であり、既存文書はこれを利用していない。,PARTIAL_DISAGREE,『年代だけでは damage_state を決められない』という限界の言語化。ハザード重畳の単調ロジックを退ける追加根拠。,『建築年代は説明力が弱い』と述べること。1981年以前/以後の二分で damage_state を割り当てること。40%/28%/9%/2% を京都・藤沢に転用すること。,PRESENTATION_ONLY,true
DS-04,damage_state,Naito et al. 2024 (10.20965/jdr.2024.p0780),p.2（刷り p.781）; p.3（刷り p.782）Table 1,NA,"3 区分は D0-D6 の粗粒度化である（1: no damage <- D0 / 2: damaged <- D1,D2,D3 / 3: collapsed <- D4,D5,D6）。区分を細かくするほど調査手法・調査員による集計差が大きくなることを粗粒度化の理由として明記する。",DAMAGE_STATE packet は Naito を『事後推定の構造』として REJECT の根拠に用いた（要旨のみ）。,REJECT 判断は維持される。加えて、Naito の Collapsed が D4 を含む点は重要である——Moya の『倒壊=D5』より広く、Yamada の D4/D5 分離とも異なる。粗粒度化の理由（手法間・調査員間のばらつき）は、AblePath が damage_state を細かく持つほど provenance 要件が重くなることを示唆する。,AGREE_WITH_NARROWING,damage state 語彙が一致しないこと（CT-3）の具体例。粗粒度化のトレードオフの説明。,Naito の Collapsed を Moya の『倒壊=D5』と同一視すること。3 区分を AblePath の語彙に無写像で流用すること。,REJECT,true
DS-05,damage_state,Naito et al. 2024,p.6（刷り p.785）Table 4; p.7（刷り p.786）Section 5.4; p.8（刷り p.787）Tables 6-7,NA,"10 変数 random forest の Overall Accuracy は 0.814、3 クラス平均 F 値は約 0.70。しかし collapsed クラスの Recall は 0.517（Precision 0.652, F 0.577）で、1 変数モデルの Recall 0.641 より低い。検証標本 7,981 棟中 collapsed は 290 棟（3.6%）。重要度上位は CNN 予測・テクスチャ解析・断層距離・震度の順で、上位 2 つは事後航空写真依存。ブルーシート被覆・地震前後 DSM 差分も事後観測。",DAMAGE_STATE packet §7 は『総合正解率およそ 81%』とだけ記し、§9-7 で 81%/70% を閾値・定数に用いることを禁じた。,禁止は維持されるが、既存文書は 81% の内訳を落としている。倒壊クラスの再現率 0.517 は『倒壊建物の約半数を取りこぼす』ことを意味し、変数を増やすと再現率はむしろ下がる。したがって 81% は damage_state の信頼性の根拠に使えないという禁止を、精度の内訳の側から強く補強できる。既存文書は禁止の理由を『事後変数依存』のみに置いていた。,GPT_OMISSION,事前割り当て不可の排除論拠、および『全体精度と少数クラス再現率は別物』という一般的注意。,81%/70%/0.517 を閾値やコード定数に用いること。事前シナリオで本モデルの構造を転用すること。これらの精度を京都・藤沢の妥当性として引くこと。,REJECT,false
DS-06,damage_state,Lo et al. 2020 (10.1007/s12205-020-0340-7),p.4（刷り p.3824）; p.5（刷り p.3825）; p.6（刷り p.3826）Eq.(2),F_r = 1 - Prod_{n=1}^{N}(1 - P_n),TELES の damage state は 5 段（no / minor / moderate / severe / complete damage）で、道路閉塞に使うのは complete damage の 1 段のみ。PGA（250/400/550/750 Gal）は fragility 曲線の入力であって damage state ではない。閉塞確率は『1 棟でも倒壊すれば閉塞』とする直列合成で、幅・離隔・瓦礫量を一切用いない。,既存文書に Lo への言及はない（新規 source）。ただし RESEARCH_LEDGER §3 は damage_state を scenario 指定として与える設計を採る。,PGA から damage state を直接作る経路が存在しないことを、TELES という実運用システムの側から確認できる。一方 Eq.(2) は AblePath の残存幅モデルとは互換性がなく、『先行研究が多数ある』ことが残存幅モデルの根拠にはならないことの実例である。,NEW_EVIDENCE_SUPPORTS_GPT,『intensity は damage state ではない』ことの実運用システム側の裏づけ。幅を持たないモデルとの対比。,Eq.(2) を M7 の残存幅計算に用いること。PGA シナリオ結果を京都・藤沢に転用すること。,REJECT,false
DS-07,damage_state,OpenQuake / GEM fragility documentation,docs.openquake.org/vulnerability/fragility_models.html（参照 2026-09-03、#references を含む）,P(DS >= ds_i | IM) = Phi((ln IM - ln mu_DS_i)/beta_DS_i) ; beta_DS_i = sqrt(beta_r2r^2 + beta_b2b^2 + beta_ds^2),fragility function は『ある damage state に達するか超える確率』を intensity measure の関数として記述する。mu は当該 damage state に対応する intensity の中央値、beta は総対数標準偏差（分散）。ばらつきは記録間・建物間・damage state 閾値定義の 3 成分に分解され、beta_ds は damage state の閾値定義そのものの不確かさを表す。,DAMAGE_STATE packet §4 は taxonomy -> probability -> realization の 3 層分離を採用し、確率を categorical に落とすには明示的な凍結実現規則が必要と結論した。,全面的に同意する。加えて beta_ds の存在は既存文書が使っていない強い論拠である——公式文書自身が『damage state の境界は不確かである』と述べている以上、確率を状態に落とす操作は不確かさを捨てる操作であり、その捨象を凍結規則として記録することが必須になる。,AGREE,3 層分離の形式的根拠。realization 規則を凍結対象とする根拠。beta_ds による閾値定義の不確かさの明示。,確率分布を凍結実現規則なしに categorical な damage_state へ落とすこと。DAMAGED/COLLAPSED を taxonomy 写像なしに limitStates 語彙と同一視すること。,STRUCTURE_ONLY,true
DB-01,debris_present,Moya et al. 2020 (10.1177/8755293019892423),p.222 Eq.(7)-(8); p.224; p.226,P[D = 0 | H = h AND collapse] = 1.5 e^(-0.43h),倒壊した建物であっても瓦礫が生じない確率が、建物高さの関数として明示的に非ゼロで与えられる。式(2)(3)(7)(9)(10) はすべて倒壊を条件とする条件付き量であり、原著は『倒壊確率が別に必要』『まず倒壊/非倒壊を実現化する必要がある』と明記する。,RESEARCH_LEDGER §3 は『debris_present（道路側へ瓦礫が出るか。Moya Eq.7 から variant 規則で決定値化: MEAN_CASE / HIGH_SENSITIVITY / NO_DEBRIS）』とした。,『Eq.7 が debris_present を条件付き確率として与える』という読みは正しい。ただし『variant 規則で決定値化』は原著に規則が存在せず、AblePath 独自の凍結実現規則である。既存文書はこれを自認しているが（本 A1 検証 D-09）、台帳 §3 の文面だけを読むと Moya に規則があるように読める。文面の補正が望ましい。,AGREE_WITH_NARROWING,debris_present を damage_state から独立した条件付き確率事象として契約に立てること。,Eq.(7) の値を bool として直接代入すること。damage_state=COLLAPSED から debris_present=true を自動生成すること。,ADAPT,true
DB-02,debris_present,Moya et al. 2020,p.211; p.218; p.222 Eq.(2)-(3); p.228-229,mu_h = 0.31h + 1.10 ; sigma = 1.11 (n = 738),D は建物 footprint 外周から外側へ広がった瓦礫の距離で、50 cm 刻みで計測される。mu_h/sigma は D>0 の部分標本（n=738、母集団は木造 851 棟）に対する条件付き平均と残差標準偏差。瓦礫の方向は較正されておらず道路方向は保守的仮定。両側に建物がある場合は閉塞確率がもはや独立でないと明記。,RESEARCH_LEDGER §3 は D = 0.31h + 1.10、感度上限 +1sigma = 1.11 とし、§2 #3 で『2階建て町家 h≈7m なら mu_D≈3.3m、+1σで≈4.4m——幅4mの産寧坂クラスは沿道1棟の倒壊で車いす閾値を割る』という桁感を示した。,係数の転記は正確で、TRANSFER=ADAPT の注記も適切。ただし『幅4mの産寧坂クラスは沿道1棟の倒壊で車いす閾値を割る』という桁感は、(i) Eq.(7) の P[D=0] を掛けていない、(ii) S=0 を暗黙に仮定している、(iii) 方向が当該側であることを仮定している——3 つの条件を落としている。台帳自身が『Eq.7 と併用せよ』と別項で述べているため矛盾しており、桁感の文面を条件付きに書き改めるべきである。,GPT_OVERINTERPRETATION,debris_extent の凍結中核候補（human freeze 前）。左右独立の侵入量計算の入力。,mu_h を『倒壊建物は必ず 3.27 m の瓦礫を出す』式として使うこと。P[D=0] と S と方向を落とした桁感を対外資料に用いること。sigma を悲観ケースと呼ぶこと。,ADAPT,true
DB-03,debris_present,Yu & Gardoni 2022 (10.1016/j.ress.2021.108220),§5.1.1; §5.2 Eq.(3); §5.2.1; §5.4 Eq.(9); §6.1 Eq.(17),"D_e,q = max(D_b,q(x,DS,Theta) - delta_q, 0)",瓦礫距離は damage state DS と建物寸法を条件とする確率量として構成される（対数変換した回帰＋残差）。瓦礫体積比 k は DS の関数。車線に届いた分 D_e は瓦礫距離から道路要素幅 delta_q を引いた正部分として別途定義される。経路閉塞確率は damage state の確率で重み付けした和であり、状態を確定させない。,RESEARCH_LEDGER §4 は容量式 C=V-E の型を借り、E を歩行プロファイル別所要幅 E_p に読み替えるとした。SETBACK packet は delta_q を『離隔を明示的に扱った先行例』として引いた。,"同意する。加えて、AblePath の I_side = max(D - S, 0) は Yu & Gardoni Eq.(9) と同型であることが指摘できる——既存文書は C=V-E の型のみを強調し、Eq.(9) の差分演算との同型性を活用していない。これは『debris_extent と road intrusion は別量である』という主張の最も直接的な文献的裏づけである。",GPT_OMISSION,debris_extent から road intrusion を得る差分演算の型（Eq.9）。確率を確率のまま積み上げる型（Eq.17）。,"C3 較正の後験値（theta, sigma）と HAZUS の k を日本木造に移植すること。delta_q をそのまま setback とすること（歩道を離隔に含めるため）。",STRUCTURE_ONLY,true
DB-04,debris_present,"Anelli, Mori & Vona 2020","p.6 Eq.(5), Eq.(8); p.6 冒頭; p.5 Table 1","w_d,2 = 0 ; w_d,5 = 0 ; w_d = 0 for DF <= 7%","瓦礫幅ゼロは 2 つの機構で明示的に生じる: (i) 損傷が軽微（DF <= 7%、operative limit state 以下）で footprint を保つ場合、(ii) 倒壊方向が当該道路側でない場合（Eq.5 の説明文が明記）。瓦礫幅自体は倒壊メカニズム別の幾何モデル（a, epsilon, Delta h）で与えられる。",既存文書は『倒壊 -> 瓦礫あり』の自動変換を Moya Eq.(7) のみを根拠に禁じていた。,Anelli は Moya とは完全に独立な第二の根拠を与える。しかも機構が異なる——Moya の P[D=0] は観測された頻度、Anelli の w_d=0 は倒壊方向の幾何的場合分けである。両者を『同じ瓦礫なし確率』として混ぜてはならないが、禁止の根拠としては 2 本が独立に立つ。既存文書はこの二重の根拠を持っていない。,GPT_OMISSION,damage_state -> debris_present の自動変換禁止の第二の独立根拠。,epsilon・w_d 式を日本木造に適用すること。Moya の P[D=0] と Anelli の w_d=0 を同じ確率として合成すること。,PRESENTATION_ONLY,true
DB-05,debris_present,Moya 2020 / Anelli 2020 / Yu & Gardoni 2022 / OpenQuake,"Moya p.222 Eq.(7), p.226; Anelli p.6 Eq.(5)(8); Yu & Gardoni §6.1 Eq.(17); OpenQuake fragility_models.html",NA,確率を閾値で bool に変換した source は 1 本も存在しない。Moya は乱数実現へ渡し、Yu & Gardoni は確率のまま重み付けし、Sorrentino は確率のまま MAF へ積分し、OpenQuake は fraction として集計する。,契約 §11 と既存 validator 設計は、COLLAPSED->debris_present=true、probability>0.5->true、UNKNOWN->false の 3 つの自動変換を禁止した。,3 つの禁止はいずれも原著群と整合し、支持する。特に『probability>0.5 -> true』の 0.5 という値には文献上の出所が一切なく、閾値を置くこと自体が凍結を要する設計判断である。『UNKNOWN->false』の禁止も、Moya が倒壊確率を別途要求する構造（欠測は false ではなく未評価）と整合する。,AGREE,fail-closed validator の 3 テスト（自動変換の拒否）。,COLLAPSED から debris_present=true を導くこと。0.5 閾値で bool 化すること。UNKNOWN を false へ縮退させること。,STRUCTURE_ONLY,true
DB-06,debris_present,Moya 2020 / Yu & Gardoni 2022 / Anelli 2020 / ROSA 2025,Moya p.211; Yu & Gardoni §5.4 Eq.(9); Anelli p.7 Eq.(10); ROSA p.1,"I_side = max(D - S, 0) ; remaining = max(W_clear - I_L - I_R, 0)",4 本の source はいずれも『瓦礫がどこまで出たか』と『通行対象面にどれだけ入ったか』と『残った幅』を別々の量として扱う。Moya の D は建物面基準、Yu & Gardoni の D_e は車線基準、Anelli の w_fr は残存幅、ROSA は 3 指標を別次元として定義する。,RESEARCH_LEDGER §3 は damage_state / debris_present / debris_extent / I_side / remaining_clear_width_m を分離した設計を採る。,この分離は 4 本の source すべてに支持される、本レビューで最も強く裏づけられた設計判断である。ただし『どの量も他から自動導出されない』という含意まで踏み込むべきである——特に debris_present=true から I_side>0 は導けない（S が必要）。,AGREE,5 フィールドを独立に保持する契約構造。相互の自動補完を禁じる validator。,debris_present=true から I_side>0 を導くこと。debris_extent を remaining_clear_width の直接の入力として扱うこと（S を経由しない）。,STRUCTURE_ONLY,true
